J,R,E,M,E_Num,algo,n_subtypes,mallows_temperature,kendalls_w,runtime,kendalls_tau,subtype_acc,mean_stage_healthy,runtime_cross_validation,absolute_error_n_subtypes,relative_error,correct_bool
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),8,11,BebmS,2,0.05610462818404411,0.493006993006993,0.9727805773417155,0.23484848484848486,0.12634260148206553,0.013513513513513514,,,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),8,11,BebmS (Blind),2,0.05610462818404411,0.493006993006993,1.0815657734870912,0.3560606060606061,0.0,0.17567567567567569,,1.0,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),8,11,Random Guessing,2,0.05610462818404411,0.493006993006993,0.0,0.43939393939393934,0.0089871874112557,6.0675675675675675,,1.0,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),8,11,SuStaIn (GMM),2,0.05610462818404411,0.493006993006993,1.6464216907819111,0.3257575757575758,0.005150439665516197,2.0675675675675675,,,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),8,11,SuStaIn (KDE),2,0.05610462818404411,0.493006993006993,1.5626516620318094,0.36363636363636365,0.06017075938055378,3.2567567567567566,,,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),9,11,BebmS,5,0.08167408260276433,0.11608391608391608,3.0325772643089293,0.27272727272727276,0.05313928461049596,0.013513513513513514,,,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),9,11,BebmS (Blind),5,0.08167408260276433,0.11608391608391608,3.428815507888794,0.3151515151515151,0.1769950710749631,0.36486486486486486,,4.0,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),9,11,Random Guessing,5,0.08167408260276433,0.11608391608391608,0.0,0.3424242424242424,-0.010096584341968343,5.918918918918919,,4.0,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),9,11,SuStaIn (GMM),5,0.08167408260276433,0.11608391608391608,9.392036859194437,0.38484848484848483,0.13944913588065466,4.364864864864865,,,100,100
300,0.25,Exp 11: xi (Normal) & Continuous kj (Skewed) & X (Normal),9,11,SuStaIn (KDE),5,0.08167408260276433,0.11608391608391608,8.783926192919413,0.3575757575757576,0.0714659099915704,1.8513513513513513,,,100,100
300,0.25,Exp 1: S & Ordinal kj (DM) & X (Normal),0,1,BebmS,1,0.264856023089445,1.0,0.8097911675771078,0.0,,0.04,1238.9782299995422,0.0,0,1
300,0.25,Exp 1: S & Ordinal kj (DM) & X (Normal),0,1,BebmS (Blind),1,0.264856023089445,1.0,0.6966755151748657,0.045454545454545456,,0.17333333333333334,1551.1282405853271,2.0,2,0
300,0.25,Exp 1: S & Ordinal kj (DM) & X (Normal),0,1,Random Guessing,1,0.264856023089445,1.0,0.0,0.5151515151515151,,6.346666666666667,,3.0,100,100
300,0.25,Exp 1: S & Ordinal kj (DM) & X (Normal),0,1,SuStaIn (GMM),1,0.264856023089445,1.0,0.6612021009127299,0.15151515151515152,,2.2933333333333334,2077.162416934967,1.0,1,0
300,0.25,Exp 1: S & Ordinal kj (DM) & X (Normal),0,1,SuStaIn (KDE),1,0.264856023089445,1.0,0.5559399604797364,0.3484848484848485,,1.96,1743.0229182243347,4.0,4,0
300,0.25,Exp 1: S & Ordinal kj (DM) & X (Normal),1,1,BebmS,5,0.19602508227334317,0.31580419580419583,1.9118927876154581,0.2909090909090909,0.22627758810731027,0.3424657534246575,1117.045072555542,2.0,-2,0
300,0.25,Exp 1: S & Ordinal kj (DM) & X (Normal),1,1,BebmS (Blind),5,0.19602508227334317,0.31580419580419583,2.303784235318502,0.2545454545454545,0.2264715519752783,0.2191780821917808,1620.1790881156921,0.0,0,1
300,0.25,Exp 1: S & Ordinal kj (DM) & X (Normal),1,1,Random Guessing,5,0.19602508227334317,0.31580419580419583,0.0,0.396969696969697,-0.0066331279916077126,6.178082191780822,,1.0,100,100
300,0.25,Exp 1: S & Ordinal kj (DM) & X (Normal),1,1,SuStaIn (GMM),5,0.19602508227334317,0.31580419580419583,6.903576628367106,0.2696969696969697,0.30761255076611915,2.0136986301369864,1830.1924707889557,1.0,-1,0
